post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47651019,PS3 emulator makes Cell CPU breakthrough that improves performance in all games,sports,8,0,gloxkiqcza,2026-04-06 09:22:22.425998,8.0,False
47610590,The East India Company in Japan,worldnews,14,2,Thevet,2026-04-06 09:22:29.791541,4.666666666666667,False
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,15,0,paberr,2026-04-06 09:22:33.887265,15.0,False
47604155,SpaceX files to go public,science,398,575,nutjob2,2026-04-06 09:22:36.298084,0.6909722222222222,True
47615449,Artemis II will use laser beams to live-stream 4K moon footage at 260 Mbps,science,373,152,speckx,2026-04-06 09:22:37.164346,2.4379084967320264,True
47611721,IBM Announces Strategic Collaboration with Arm,science,281,190,bonzini,2026-04-06 09:22:37.981916,1.4712041884816753,True
47621438,Show HN: Made a little Artemis II tracker,entertainment,153,58,codingmoh,2026-04-06 09:22:38.801580,2.593220338983051,False
47655390,Aviation company employee attempted to take proprietary information to China,worldnews,5,1,737min,2026-04-06 09:22:40.404461,2.5,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 09:22:46.119475,1.9865771812080537,True
47654226,Trump proposes steep cut to NASA budget as astronauts head for the Moon,science,7,0,rbanffy,2026-04-06 09:22:55.698364,7.0,False
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,22,14,slp3r,2026-04-06 09:22:56.518334,1.4666666666666666,False
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,36,23,sagirodin,2026-04-06 09:22:58.157644,1.5,False
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,203,56,tjgreen,2026-04-06 09:23:04.829917,3.56140350877193,True
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,899,432,novaRom,2026-04-06 09:23:06.580705,2.07621247113164,True
47608495,Quantum computing bombshells that are not April Fools,science,264,106,Strilanc,2026-04-06 09:23:09.773805,2.467289719626168,True
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-06 09:23:13.099021,15.0,False
47606840,DRAM pricing is killing the hobbyist SBC market,worldnews,629,542,ingve,2026-04-06 09:23:21.497916,1.1583793738489871,True
47605374,Scientists crack a 20-year nuclear mystery behind the creation of gold,worldnews,87,39,prabal97,2026-04-06 09:23:37.170372,2.175,False
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 09:23:48.244810,4.0,False
47641164,Polymarket apologizes for allowing wagers on fate of U.S. pilots downed in Iran,worldnews,31,25,ceejayoz,2026-04-06 09:23:59.593533,1.1923076923076923,False
47611809,New laws to make it easier to cancel subscriptions and get refunds,worldnews,158,66,chrisjj,2026-04-06 09:24:06.798180,2.3582089552238807,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,10,bookmtn,2026-04-06 09:24:07.582305,1.2727272727272727,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 09:24:12.600412,1.303921568627451,False
47631190,Chip-scale optical wireless system hits 362 Gbps at half the energy of Wi-Fi,science,10,0,prabal97,2026-04-06 09:24:14.968865,10.0,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),sports,40,6,ruevs,2026-04-06 09:24:17.516742,5.714285714285714,False
47624270,Q148637: Windows 95/98 Overwrites Boot-Sector Field on Floppy Disks (2001),sports,10,3,TMWNN,2026-04-06 09:24:40.793527,2.5,False
47602879,StepFun 3.5 Flash is #1 cost-effective model for OpenClaw tasks (300 battles),worldnews,174,84,skysniper,2026-04-06 09:24:49.616957,2.0470588235294116,False
47622110,NanoClaw's architecture is a masterclass in doing less,worldnews,12,0,jonnonz,2026-04-06 09:25:06.702432,12.0,False
47621048,Why Doesn't Anybody Realize We're Going Back to the Moon?,science,87,149,paulpauper,2026-04-06 09:25:12.707331,0.58,False
47648452,Ubuntu now requires more RAM than Windows 11,sports,137,177,jnord,2026-04-06 09:25:18.344087,0.7696629213483146,False
47640537,The White House App Is Riddled with Cybersecurity Vulnerabilities,worldnews,14,1,OrangePilled,2026-04-06 09:25:19.161238,7.0,False
47629385,Artemis II Looking Back at Earth,science,24,3,DarmokJalad1701,2026-04-06 09:25:51.826400,6.0,False
47588476,"Trap a quantum object in a box – is it hard or soft, or is it black or white?",science,10,0,allangoff,2026-04-06 09:25:54.184340,10.0,False
47636203,"Scientists are working on ""everything vaccines""",science,49,60,andsoitis,2026-04-06 09:25:56.647927,0.8032786885245902,False
